ID,Title,Location,Salary,Summary
bb964ceb2f0fbab5,new[2022인턴] Programming - 게임 개발 (신규 IP 부문),성남 판교역,,"및 경험을 보유하신 분 - 멀티쓰레드 기본 지식/ Programming 스킬 및 경험을 보유하신 분 - Python, Javascript 등 스크립트 언어 경험을 보유하신 분 - 실제 외부에 게임을 오픈하고 관리해보신 분..."
28d09dd85cd521c5,new[SW 개발회사] 서버 & 네트워크 담당자,성남 분당구,,"업무에 필요한 자동화 시스템 스크립트 언어(Shell Script, Python 등)를 활용한 인프라 운영 경험이 있으신 분 - 정보보호 인증체계... 언어(Shell Script, Python 등)를 활용한 인프라 운영 경험..."
cadddc1d517bc19b,Renewable Energy Analyst,서울,,"other solar energy modeling tools; Experience utilizing Python, R or Matlab (or similar) for statistical analysis and data..."
c9b99315daa0a2d9,천재교과서 IT부문,서울 금천구,,웹개발|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>시스템엔지니어|인터넷·IT·통신·모바일·게임>네트워크...
01a9ca0105819bc3,newSoftware Engineer for Machine Learning Operations,서울,,"more programming language suitable for machine learning (e.g., Python, R, C, C++) • 1+ year of experience using statistics..."
bec33b19427238a4,(주)작당모의 앱 개발자,서울 서초구,,"1. 백엔드 개발 1년이상, OOP/Function Language 개발 가능, AWS 개발 경험 등 2. Python Django 개발, Nodejs React 개발, MySQL 개발 경험 등 3. React Native..."
b82196274088fa63,Data Analyst (토스페이먼츠),서울 강남구,,투자·분석·증권·외환>리스크매니저|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>데이터분석|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
d5e161ad6260fa89,new[2022인턴] Programming - 게임 개발 (Live IP 부문),성남 판교역,,"및 경험을 보유하신 분 - 멀티쓰레드 기본 지식/ Programming 스킬 및 경험을 보유하신 분 - Python, Javascript 등 스크립트 언어 경험을 보유하신 분 - 실제 외부에 게임을 오픈하고 관리해보신 분..."
69a55b188519aad6,new제어엔지니어(신입/전문연구요원),서울 강남구,,격요건]경력사항: 신입 또는 경력 2년 미만학력사항: 석사학위 소지자[우대사항]컨트롤러 설계 경험 C 또는 Python 프로그래밍 역량 운전 가능자 1 명 근무조건 고용형태: 정규직(수습기간3개월) / 석사학위 소지자 병역특...
b1dff208ada65163,연구 개발 프로그래머 (키메이커팀),서울 강남구,,"합니다.- C#, Python, Javascript 등 다양한 언어와 환경을 사용합니다. 지원자격 인터넷·IT·통신·모바일·게임>응용프로그래머>C#|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신..."
8a62604d32bd9c42,"new인공지능 APP, WEB (Python/TensorFlow/J2EE)",부산 해운대구,"월급 2,000,000원","개발/ 인공지능 메타버스 솔루션 개발 Web 개발팀 2명담당업무ㆍJava Web/ APP 개발, Unity, Python 우대지원자격ㆍ경력 : 신입/경력 1년 이상우대사항ㆍ공학계열ㆍ인근거주자, 해당직무 근무경험근무조건ㆍ 근무..."
894af7a6dfdbaca6,[Beluga] 음성 (TTS/STT) 딥러닝 엔지니어 (경력 무관),서울 강남구,,제시 및 문제 해결을 위한 프로그래밍 능력을 보유하신 분 (C/C++/ Python/shell 등)오픈소스 기반 딥 러닝 프레임워크 활용 능력을 보유하... 그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
e742db63ad7e269f,프론트엔드 개발자/디자이너/기획/마케터 정직원,성남 수정구,"연봉 30,000,000원 - 35,000,000원",JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>HDML|인터넷·IT·통신·모바일·게임>웹프로그래머>APM|인터넷...
eab9162310d691f8,추천/ML SaaS 플랫폼 개발을 위한 MLOps 엔지니어,성남 판교역,,"학위(석사/박사)를 소지하신 분 운영체제, 네트워크, 데이터베이스에 대한 기본적인 이해가 있으신 분 Python에 능숙하신 분 어떤 경험이 있으면 좋나요? 대용량 실시간 서비스 개발 운영 경험이 있으신 분 Cloud..."
5ab0b45dfa93411b,Data Engineer 신입사원,서울 강남구,,"분류, 개인정보 비식별화, 불량 코퍼스 필터링 등 다양한 ML 프로젝트 (예정)[자격요건]- Julia / Python / R 중에서 자신 있는 프로그래밍 언어가 있는 분- 하나의 데이터도 놓치지 않고 꼼꼼하게 관리할 수..."
